scenario,image,dataset,tp,fp,fn,confidence,best_iou,latency_ms,outcome
Distancia corta,CGV-0192.png,dataset_alpr,1,0,0,0.7652031183242798,0.9082936786607053,32.10349997971207,TP
Distancia corta,PMM-3913.png,dataset_alpr,1,0,0,0.6963274478912354,0.9069455844726919,32.22499997355044,TP
Distancia corta,AGR 5245.png,dataset_alpr,1,0,0,0.7048153281211853,0.9174701378220664,32.03210001811385,TP
Distancia corta,PCW-9402.png,dataset_alpr,1,0,0,0.7599360346794128,0.898884901815319,32.20730007160455,TP
Distancia corta,HAN-1770.png,dataset_alpr,1,0,0,0.6591697335243225,0.9245353570415354,32.105699996463954,TP
Distancia corta,IEV-9295.png,dataset_alpr,1,0,0,0.7318363785743713,0.9188466310033384,33.06629997678101,TP
Distancia corta,DVG-0549.png,dataset_alpr,1,0,0,0.692797064781189,0.9254234769098602,32.33930002897978,TP
Distancia corta,QMI-1948.png,dataset_publico_placas,1,0,0,0.6702392101287842,0.9604157610179973,32.38960006274283,TP
Distancia corta,OBF-5319.png,dataset_alpr,1,0,0,0.6050195097923279,0.9191057222978178,32.194499974139035,TP
Distancia corta,GKY-9903.png,dataset_alpr,1,0,0,0.7813396453857422,0.8987814429573179,32.311600050888956,TP
Distancia corta,WKV-5217.png,dataset_alpr,1,0,0,0.7028700709342957,0.9213606054458456,32.19719999469817,TP
Distancia corta,CUG-9201.png,dataset_alpr,1,0,0,0.7072758078575134,0.9139825152416516,32.056699972599745,TP
Distancia corta,FVH 5245.png,dataset_alpr,1,0,0,0.6743452548980713,0.9279213843031753,34.52250000555068,TP
Distancia corta,GSP-5872.png,dataset_alpr,1,0,0,0.6644973754882812,0.9193230442312271,33.93729997333139,TP
Distancia corta,GYT-6457.png,dataset_alpr,1,0,0,0.6699474453926086,0.898643951283341,32.88119996432215,TP
Distancia corta,ULV-8349.png,dataset_alpr,1,0,0,0.749002993106842,0.9041188119851634,32.612300012260675,TP
Distancia corta,GKR-5512.png,dataset_alpr,1,0,0,0.6659097671508789,0.920503745433632,32.72569994442165,TP
Distancia corta,JAD-3868.png,dataset_alpr,1,0,0,0.7458089590072632,0.9023926614718272,33.06100005283952,TP
Distancia corta,UGR-1945.png,dataset_alpr,1,0,0,0.7543103098869324,0.9080377740322384,33.37360010482371,TP
Distancia corta,QBY-4578.png,dataset_alpr,1,0,0,0.6054863929748535,0.9114898175765083,32.96559990849346,TP
Distancia corta,FUW-9189.png,dataset_alpr,1,0,0,0.7264077663421631,0.9073677740546812,34.031599992886186,TP
Distancia corta,EIP-7968.png,dataset_alpr,1,0,0,0.7260276079177856,0.9140645401377782,33.31989992875606,TP
Distancia corta,PZH-3816.png,dataset_alpr,1,0,0,0.6883015632629395,0.9165157656804397,32.91120007634163,TP
Distancia corta,PZR-4360.png,dataset_alpr,1,0,0,0.6457841396331787,0.9125787596745001,33.14879990648478,TP
Distancia corta,SRA-8094.png,dataset_alpr,1,0,0,0.7809344530105591,0.8945138619608195,33.37299998383969,TP
Distancia corta,CYX-8689.png,dataset_alpr,1,0,0,0.7387831807136536,0.9113052405955443,31.997699989005923,TP
Distancia corta,UFU-1134.png,dataset_alpr,1,0,0,0.6835821270942688,0.9268374330118893,32.8455000417307,TP
Distancia corta,LCD 0847.png,dataset_alpr,1,0,0,0.7321258187294006,0.893048165222865,32.381199998781085,TP
Distancia corta,PDC-7876.png,dataset_alpr,1,0,0,0.569123387336731,0.9193641377277215,32.341300044208765,TP
